id,where_it_stands,question,tables,in_catalog,not_in_catalog,measured_joins_between_tables,join_gap,key_columns
143,part done,Are they paying the same doctors running the trial to also promote the drug?,LIBRARY_RAW.LANDING.FED_CLINICALTRIALS_FULL | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,1,FED_CLINICALTRIALS_FULL,,N,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
144,part done,Do outcomes vary a lot by judge and detention facility?,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_EOIR_CASES,1,,,single,
A32,not started,Do banned companies' owners also donate to political campaigns?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,3,,,Y,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP | PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
A33,not started,Do the worst-fined chains also run a political action committee?,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,2,,,Y,FINANCE__FED_FEC_COMMITTEES.CAND_ID | FINANCE__FED_FEC_COMMITTEES.CMTE_ID | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
A34,not started,Do polluted districts get less help from their representative?,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY,2,FED_HOUSE_DISBURSEMENTS,,Y,ENVIRONMENT__FED_EPA_TRI_FACILITY.EPA_REGISTRY_ID | ENVIRONMENT__FED_EPA_TRI_FACILITY.FACILITY_NAME | ENVIRONMENT__FED_EPA_TRI_FACILITY.PARENT_CO_DB_NUM | ENVIRONMENT__FED_EPA_TRI_FACILITY.STATE_COUNTY_FIPS_CODE | ENVIRONMENT__FED_EPA_TRI_FACILITY.ZIP_CODE | HOUSING__FED_MAPPING_INEQUALITY.GEOMETRY
A35,not started,Do members trade stock in industries their committee oversees?,LIBRARY_RAW.LANDING.FED_HOUSE_FD_PTR_INDEX | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,1,FED_HOUSE_FD_PTR_INDEX,,N,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.BIOGUIDE
A36,not started,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,2,,,Y,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.CAND_ID | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.CMTE_ID | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.IMAGE_NUM | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.NAME | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.OTHER_ID | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.TRAN_ID | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.ZIP_CODE | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.BIOGUIDE
A37,not started,Do sanctioned individuals still show up as political donors?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN | LIBRARY_RAW.LANDING.INTL_UN_CONSOLIDATED_SANCTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_UK_SANCTIONS_LIST | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,3,INTL_UN_CONSOLIDATED_SANCTIONS,JUSTICE__FED_OFAC_SDN.IMO_NUMBER = JUSTICE__INTL_UK_SANCTIONS_LIST.IMO_NUMBER [29] ; JUSTICE__INTL_UK_SANCTIONS_LIST.IMO_NUMBER = JUSTICE__FED_OFAC_SDN.IMO_NUMBER [29],N,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE | JUSTICE__FED_OFAC_SDN.ENT_NUM | JUSTICE__FED_OFAC_SDN.IMO_NUMBER | JUSTICE__INTL_UK_SANCTIONS_LIST.IMO_NUMBER | JUSTICE__INTL_UK_SANCTIONS_LIST.OFSI_GROUP_ID | JUSTICE__INTL_UK_SANCTIONS_LIST.PASSPORT_NUMBER | JUSTICE__INTL_UK_SANCTIONS_LIST.UN_REFERENCE_NUMBER
E32,nothing there,Do drinking water violations spike after a flood?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,2,,,Y,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.FACILITY_ID | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS
E33,found a little,Do they violate pollution rules more right after a storm?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS,2,,,Y,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY.NPDES_ID | ENVIRONMENT__FED_NOAA_STORM_EVENTS.EVENT_ID | ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE_FIPS
E34,nothing there,Do they have more drug overdose deaths?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY,2,,,Y,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.ID_NUMBER | HEALTH__FED_CDC_DRUG_POISONING_COUNTY.FIPS
E35,found a little,Did overdose deaths rise where jails emptied out?,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,2,,,Y,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS
E36,nothing there,Does overdose death rise after a disaster?,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,2,,,Y,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS
E37,nothing there,Does a pay raise from a drug company lead to more prescriptions?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,3,,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID = HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID [715581] ; HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID = HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID [715581],N,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_LAST_ORG_NAME | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_ZIP5
E38,found something,Are drug and device companies still paying them anyway?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,2,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.LAST_NAME | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.NPI | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.ZIP_CODE
E39,found something,Do the paid ones prescribe way more opioids than unpaid ones?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,2,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_LAST_ORG_NAME | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_ZIP5
E40,found something,Are brand-new doctors billing Medicare for millions in expensive wound-care products?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,2,,,Y,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI.RNDRNG_NPI | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI.RNDRNG_PRVDR_LAST_ORG_NAME | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI.RNDRNG_PRVDR_STATE_FIPS | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI.RNDRNG_PRVDR_ZIP5 | HEALTH__FED_CMS_NPPES.NPI
E41,found something,Can hospitals still legally order tests and equipment through them?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_ORDER_AND_REFERRING,2,,,Y,HEALTH__FED_CMS_ORDER_AND_REFERRING.NPI | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP
E42,found something,Is drug industry money still being sent to them?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,2,,,Y,HEALTH__FED_CMS_NPPES.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
E43,found something,Were they already losing money before the sale?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,2,,,Y,HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE | HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD
E44,found something,Did its safety violations get worse right before the fines hit?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,2,,,Y,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.ZIP_CODE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.ZIP_CODE
E45,nothing there,Do safety violations spike after a storm hits the area?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS,2,,,Y,ENVIRONMENT__FED_NOAA_STORM_EVENTS.EVENT_ID | ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE_FIPS | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.ZIP_CODE
E46,nothing there,Are these 'triple owners' actually better or worse than others?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,2,,,Y,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
E47,found something,Were they already in financial trouble before converting?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,2,,,Y,HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE | HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD
E48,found something,Were their financial reports already bad beforehand?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,2,,,Y,HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE | HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD
E49,found something,Did they win government contracts specifically during their ban?,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
E50,nothing there,"Do new health care businesses pop up right after, chasing relief money?",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,2,,,Y,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.CCN | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ORGANIZATION_NAME | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ZIP_CODE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS
E51,found a little,Does that label actually bring in more clinics?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_HPSA_PRIMARY_CARE | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,2,,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.BHCMIS_ORGANIZATION_ID = HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BHCMIS_ORGANIZATION_ID [1515] ; HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_COUNTY_FIPS_CODE = HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_COUNTY_FIPS_CODE [2271] ; HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_FIPS_CODE = HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_FIPS_CODE [59] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BHCMIS_ORGANIZATION_ID = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.BHCMIS_ORGANIZATION_ID [1515] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_COUNTY_FIPS_CODE = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_COUNTY_FIPS_CODE [2271] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_FIPS_CODE = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_FIPS_CODE [59],N,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.BHCMIS_ORGANIZATION_ID | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.COMMON_POSTAL_CODE | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.COMMON_STATE_COUNTY_FIPS_CODE | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.COMMON_STATE_FIPS_CODE | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.DISCIPLINE_CLASS_NUMBER | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.HPSA_ID | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.PRIMARY_STATE_FIPS_CODE | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_COUNTY_FIPS_CODE | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_FIPS_CODE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BHCMIS_ORGANIZATION_ID | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BPHC_ASSIGNED_NUMBER | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.FQHC_SITE_MEDICARE_BILLING_NUMBER | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.FQHC_SITE_NPI_NUMBER | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.SITE_NAME | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.SITE_POSTAL_CODE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_COUNTY_FIPS_CODE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_FIPS_CODE
E52,found a little,"Do wages, suicide, and overdose rates all get worse there?",LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,3,,JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [45],N,ECONOMICS__FED_BLS_QCEW.AREA_FIPS | ECONOMICS__FED_BLS_QCEW.STATE_FIPS | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS
E53,nothing there,Do they get penalized less often than other neighborhoods?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO | LIBRARY_MARTS.CORE.DIM_TRACT,1,DIM_TRACT,,N,ENVIRONMENT__FED_EPA_ECHO.FIPS_CODE | ENVIRONMENT__FED_EPA_ECHO.FRS_ID
E54,nothing there,Do they pay workers less than clean factories?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,2,,,Y,ECONOMICS__FED_BLS_QCEW.AREA_FIPS | ECONOMICS__FED_BLS_QCEW.STATE_FIPS
E55,nothing there,Is poor housing placed disproportionately near hazards?,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,3,,,Y,ENVIRONMENT__FED_EPA_ECHO.FIPS_CODE | ENVIRONMENT__FED_EPA_ECHO.FRS_ID | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.FACILITY_ID | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.NAME | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5
E56,nothing there,Do bonus and non-bonus doctors get similar industry money?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,2,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI
