id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,matches,notes,needs,watch_out,probe,rows,time_window,effort
v2-157,ENVIRONMENT,walk,Fracking water by source,"Where does frack water come from, and does that differ by state?",Source table meets job table.,ENVIRONMENT__FED_FRACFOCUS_WATER_SOURCE|ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,job ID,other,not started,,Same-source job ID; not a catalog key.,,,,,,
v2-158,ENVIRONMENT,walk,Plant emissions by owner share,"Which utilities own the most emissions, weighted by share?",Catalog items 34 and 35.,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022|ENERGY__FED_EIA860_4_OWNER,EIA_PLANT_ID,ranking,not started,,EIA keys are in the keyset with zero edges. Unproven.,,,,,,
v1-102,ENVIRONMENT,run,"Counties with lots of oil, gas, and fracking activity",Do they also have the worst drinking water problems?,Would show industrial activity stacking up to hurt water quality,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS|ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS|ENVIRONMENT__FED_FRACFOCUS_REGISTRY|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,,,not started,,,,"no query run yet, treat any first number as unverified",,"22,752,998",current,Medium — first probe query needed
v1-140,ENVIRONMENT,run,Owners of the most polluting power plants,Which investment funds and political donors are behind them?,Would trace pollution back to who actually profits,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022|ENERGY__FED_EIA860_4_OWNER|FED_SEC_13F_POSITIONS|POLITICS__FED_FEC_PAC_SUMMARY,,,not started,v2-Plant emissions against plant owner,,,"no query run yet, treat any first number as unverified",,"3,886,063",2022,Medium — first probe query needed
v1-22,ENVIRONMENT,run,Neighborhoods once graded 'hazardous' for housing loans in the 1930s,Do those same neighborhoods have more toxic factories today?,Would prove 90-year-old racist housing policy still poisons people today,ENVIRONMENT__FED_EPA_TRI_FACILITY|ENVIRONMENT__FED_EPA_TRI_BASIC_2023|HOUSING__FED_MAPPING_INEQUALITY|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,found something,"v2-Redlined then, denied now",,,worst-graded areas have 18x more toxic sites than the best,reports/tier1_deep_dive_2026-09-05/22_redlined_toxic_sites,"276,792",current,Quick — re-run and check the number
v2-159,ENVIRONMENT,run,"One facility, every EPA system","For one FRS ID: programs, inspections, violations, penalties, releases, gases, parent?",The facility page.,ENVIRONMENT__FED_EPA_FRS_FACILITIES|ENVIRONMENT__FED_EPA_ECHO|ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS|ENVIRONMENT__FED_EPA_TRI_BASIC_2023|ENVIRONMENT__FED_EPA_GHGRP_EMISSION|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK|ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FRS_ID,other,not started,,"FRS_ID: 17 tables, 136 edges.",,,,,,
v2-160,ENVIRONMENT,run,Corporate polluter family tree,From a global parent down through subsidiaries to facilities to violations?,A tree with pollution at the leaves.,ECONOMICS__INTL_GLEIF|ECONOMICS__INTL_GLEIF_RELATIONSHIPS|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK|ENVIRONMENT__FED_EPA_ECHO,"LEI, FRS_ID",flow,not started,,,,,,,,
v2-161,ENVIRONMENT,run,Your tap water,"For a zip: which system, its violations, lead samples, visits, milestones?",A lookup a reader will try on their own address.,ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS|ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT|ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES|ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS|ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,PWSID,other,not started,,"PWSID: 10 tables, 45 edges.",,,,,,
v2-162,ENVIRONMENT,run,"Wastewater permit, whole life","Permit, inspections, violations, enforcement, quarterly scorecard, one timeline?",Every NPDES table on one strip.,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES|ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY,NPDES_ID,timeline,not started,,,,,,,,
v2-163,JUSTICE,crawl,Sentence length by charge and district,Do the same federal charges get different prison time in different districts?,"Same crime, different years behind bars.",JUSTICE__FED_FJC_IDB_CRIMINAL,single table,other,not started,,6.3M defendants.,,,,,,
v2-164,JUSTICE,crawl,"What people sue about, by decade",Which civil case types grew and shrank in federal court?,A stacked area of a country's grievances.,JUSTICE__FED_FJC_IDB_CIVIL,single table,timeline,not started,,,,,,,,
v2-165,JUSTICE,crawl,Bankruptcies per county per year,"Where did personal bankruptcy spike, and when?",A map that lights up in 2009.,JUSTICE__FED_FJC_IDB_BANKRUPTCY,single table,map,not started,,Chapter mix as a follow-up.,,,,,,
v2-166,JUSTICE,crawl,Reversal rate by circuit,Which appeals circuits overturn the most lower-court rulings?,One bar per circuit.,JUSTICE__FED_FJC_IDB_APPELLATE,single table,ranking,not started,,,,,,,,
v2-167,JUSTICE,crawl,Which justices vote together,"How often does each pair of justices agree, term by term?",The agreement matrix.,JUSTICE__FED_SCDB,single table,other,not started,,,,,,,,
v2-168,JUSTICE,crawl,5-4 decisions per term,How many cases were decided by one vote each term?,A count that tracks the court's temperature.,JUSTICE__FED_SCDB,single table,timeline,not started,,,,,,,,
v2-169,JUSTICE,crawl,Most-cited opinions,"Which rulings get cited most, and who wrote them?",A leaderboard of law.,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,single table,ranking,not started,,10M rows.,,,,,,
v2-170,JUSTICE,crawl,Citation web,"Which opinions cite which, and where are the hubs?",A graph of precedent.,JUSTICE__FED_COURTLISTENER_PARENTHETICALS,single table,other,not started,,6.4M citation rows.,,,,,,
v2-171,JUSTICE,crawl,Gifts to federal judges,"Who gives judges gifts, and which judges get the most?","The disclosure forms, itemized.",JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS,single table,ranking,not started,,,,,,,,
v2-172,JUSTICE,crawl,Who pays for judges' travel,"Which organizations reimburse judges most, and for trips where?",Junkets on a map.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,single table,ranking,not started,,,,,,,,
v2-173,JUSTICE,crawl,Judges' stock holdings,Which companies show up most in judges' investment disclosures?,1.9M holdings.,JUSTICE__FED_COURTLISTENER_INVESTMENTS,single table,ranking,not started,v1-77,,,,,,,
v2-174,JUSTICE,crawl,Judges' spouses' income sources,"Where do judges' spouses earn, by employer type?",A side of the bench nobody charts.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME,single table,ranking,not started,,,,,,,,
v2-175,JUSTICE,crawl,Judges' debts,Which creditors hold the most judge debt?,Debts on the record.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS,single table,ranking,not started,,,,,,,,
v2-176,JUSTICE,crawl,Law schools of the bench,"Which schools produce the most federal judges, by decade?",A ranking that changes slowly.,JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS|JUSTICE__FED_COURTLISTENER_SCHOOLS,"stack, same shape",timeline,not started,,School ID same-source; CL_PERSON_ID for judge.,,,,,,
v2-177,JUSTICE,crawl,Party affiliation by court,Which courts have swung party over time?,Affiliation periods as color bars.,JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,single table,timeline,not started,,,,,,,,
v2-178,JUSTICE,crawl,Race and gender on the bench,How did the bench's race and gender mix change per decade of appointment?,"Slow change, visible.",JUSTICE__FED_COURTLISTENER_JUDGES|JUSTICE__FED_COURTLISTENER_JUDGE_RACES|POLITICS__FJC_JUDGE,CL_PERSON_ID,timeline,not started,,,,,,,,
v2-179,JUSTICE,crawl,"Crimes solved, by state","Which states clear the fewest reported crimes, and did it change since 1985?",Clearance rate is the number nobody quotes.,JUSTICE__FED_FBI_CDE,single table,map,not started,,,,,,,,
v2-180,JUSTICE,crawl,Gun background checks by month,"When did gun checks spike, state by state?",Spikes line up with news.,JUSTICE__FED_FBI_NICS_CHECKS,single table,timeline,not started,,,,,,,,
v2-181,JUSTICE,crawl,Gun dealers per county,Where are licensed gun dealers densest per resident?,"77K dealers, every address.",JUSTICE__FED_ATF_FFL|DIM_COUNTY,FIPS,map,not started,v1-139,FFL has coordinates; county via lookup.,,,,,,
v2-182,JUSTICE,crawl,People killed by police,"How many per year, by race, armed status, and were officers charged?","Two trackers, one chart.",JUSTICE__XC_MAPPING_POLICE_VIOLENCE|JUSTICE__XC_WAPO_FATAL_FORCE,"stack, same shape",timeline,not started,,Different coverage; do not add them together.,,,,,,
v2-183,JUSTICE,crawl,County jail rates over time,Which counties' jail rates climbed most since 1970?,"Vera's county trends, animated.",JUSTICE__XC_VERA_INCARCERATION_TRENDS,single table,map,not started,,,,,,,,
v2-184,JUSTICE,crawl,The racial jail gap by county,Where is the Black-white jail rate gap widest?,"Built table, one map.",JUSTICE__RACIAL_JAIL_DISPARITY,single table,map,not started,,Built table.,,,,,,
v2-185,JUSTICE,crawl,"Overdose and jail, worst-tenth counties",Which counties are in the worst tenth for both overdose and jail?,Built table with the flag.,JUSTICE__COUNTY_DOUBLE_BURDEN,single table,map,not started,v1-8,Built table.,,,,,,
v2-186,JUSTICE,crawl,Sanctioned ships,"Which sanctioned vessels exist, under which programs?",OFAC lists ship details.,JUSTICE__FED_OFAC_SDN,single table,ranking,not started,,,,,,,,
v2-187,JUSTICE,crawl,Thirteen blacklists in one,Which entries appear on several federal screening lists?,Overlap counted.,JUSTICE__FED_CONSOLIDATED_SCREENING_LIST,single table,other,not started,,,,,,,,
v2-188,JUSTICE,crawl,A million sanctioned targets,"How does the global watchlist split by country, type, and crypto wallets?",Crypto wallets on a sanctions list is new.,JUSTICE__INTL_OPENSANCTIONS_DEFAULT,single table,other,not started,,,,,,,,
v2-189,JUSTICE,crawl,Exploited software flaws,"Which vendors' flaws get exploited most, and how many are ransomware-used?",Product names people recognize.,JUSTICE__FED_CISA_KEV,single table,ranking,not started,,,,,,,,
v2-190,JUSTICE,crawl,Ransomware gangs and their victims,"Which gangs claim the most victims, in which countries, by month?",Gang names on a timeline.,JUSTICE__XC_RANSOMWARELIVE_VICTIMS,single table,timeline,not started,,,,,,,,
v2-191,JUSTICE,crawl,Conflict deaths on a map,"Where did conflict events cluster, and how deadly, year by year?",386K events.,JUSTICE__INTL_UCDP_GED,single table,map,not started,,,,,,,,
v2-192,JUSTICE,crawl,"North Korean missile tests, two trackers","Do the two trackers agree on count, type, and outcome?",Disagreement between sources is itself the chart.,JUSTICE__INTL_NTI_CNS_DPRK_MISSILE_TESTS|JUSTICE__XC_NAGIX_DPRK_MISSILE_TESTS,"stack, same shape",timeline,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-193,JUSTICE,crawl,Human rights violations by country and article,"Which countries lose most at the European court, on which articles?","2,000 rulings.",JUSTICE__INTL_HUDOC,single table,other,not started,,,,,,,,
v2-194,JUSTICE,crawl,"Homicide, warheads, terrorism by country",Three OWID series on one country page?,Simple world context.,JUSTICE__XC_OWID_HOMICIDE|JUSTICE__XC_OWID_NUCLEAR_WARHEADS|JUSTICE__XC_OWID_TERRORISM_DEATHS,country + year,timeline,not started,,Country code lookup. Not a catalog key; lookup or unproven.,,,,,,
v2-195,JUSTICE,crawl,Missouri registry by county,"Where are registrants per resident highest, and what share are noncompliant?","A state registry, mapped.",JUSTICE__STATE_MO_SEX_OFFENDER_REGISTRY,single table,map,not started,,Names present. Aggregate only.,,,,,,
v2-196,JUSTICE,crawl,FTC cases by topic,"What does the FTC go after, and did it shift?","1,004 cases.",JUSTICE__FED_FTC_DATASETS,single table,timeline,not started,,,,,,,,
v2-197,JUSTICE,crawl,Biggest multidistrict lawsuits,Which MDLs hold the most pending cases?,A ranking of mass litigation.,JUSTICE__FED_JPML_PENDING_MDLS,single table,ranking,not started,,,,,,,,
v2-198,JUSTICE,crawl,Bank enforcement fines,"Which banks were fined most by the FDIC, and when?",Bank names and dollar amounts.,JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS,single table,timeline,not started,,,,,,,,
v2-199,JUSTICE,crawl,Oral argument transcripts,"Which judges talk most in oral argument, by word count?",Transcript text as data.,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,single table,ranking,not started,,Transcript column where available.,,,,,,
v2-200,JUSTICE,crawl,Courthouses map,"Where are federal courthouses, and which counties are far from one?",Distance-to-court map.,JUSTICE__FED_COURTLISTENER_COURTHOUSES|DIM_COUNTY,FIPS,map,not started,,,,,,,,
v1-122,JUSTICE,walk,People who control companies registered in the U.K.,Are any of them under U.S. or international sanctions?,Would show sanctioned people still running real companies,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC|JUSTICE__INTL_OPENSANCTIONS_DEFAULT|JUSTICE__FED_OFAC_SDN,,,not started,v2-Sanctioned names in UK filings,,,"no query run yet, treat any first number as unverified",,"17,105,571",notified/ceased dates,Medium — first probe query needed
v1-136,JUSTICE,walk,Government tech vendors,Do the ones with the most known security flaws still win contracts?,Would show government still paying risky vendors,JUSTICE__FED_CISA_KEV|FED_USASPENDING_CONTRACTS_FULL_R2,,,not started,,,,"no query run yet, treat any first number as unverified",,"93,155,098",by year,Medium — first probe query needed
v1-137,JUSTICE,walk,Ships owned by sanctioned entities,Are any of them showing up at U.S. ports anyway?,Would be a sanctions violation happening in plain sight,JUSTICE__FED_OFAC_SDN|FED_NOAA_AIS,,,not started,v2-Ships per owner against port calls,,,"no query run yet, treat any first number as unverified",,"58,125,631",after designation,Medium — first probe query needed
v1-138,JUSTICE,walk,Police departments,Do the ones involved in the most killings still get the most federal grant money?,Would question how federal funding is allocated,JUSTICE__XC_MAPPING_POLICE_VIOLENCE|FED_USASPENDING_ASSISTANCE_FULL,,,not started,,,,"no query run yet, treat any first number as unverified",,"19,918,355",by year,Medium — first probe query needed
v1-139,JUSTICE,walk,Gun dealers,Are more dealers in an area linked to more gun deaths?,Tests a long-running gun policy question,JUSTICE__FED_ATF_FFL|JUSTICE__FED_FBI_NICS_CHECKS|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,part done,v2-Gun dealers per county,,,"Partially checked, real signal found",,"225,959",state level,"Medium — partial run, needs finishing"
v1-77,JUSTICE,walk,Federal judges,Do they own stock in companies whose cases they're deciding?,Would be a serious conflict of interest,JUSTICE__FED_COURTLISTENER_INVESTMENTS|JUSTICE__FED_COURTLISTENER_POSITIONS|JUSTICE__FED_FJC_IDB_CIVIL,,,not started,v2-Judges' stock holdings,,,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/77_judges_stock_vs_parties,"12,810,285",disclosure years,Medium — first probe query needed
v1-94,JUSTICE,walk,Federal judges,Does a judge's political leaning or donations predict how they rule?,A long-debated fairness-of-the-courts question,JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS|FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|JUSTICE__FED_FJC_IDB_CIVIL,,,not started,,,"FEC indiv now 14 cycles, 2000-2026, 283.8M rows","no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/94_judge_politics_vs_dockets,"95,037,994",by judge,Medium — first probe query needed
v1-95,JUSTICE,walk,Federal judges,Do gifts or debts they report ever involve parties in their own courtroom?,Would be a direct conflict of interest,JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS|JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS|JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,,,not started,v2-Judges' gifts against their positions,,,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/95_judge_gifts_vs_parties,"54,272",disclosure years,Medium — first probe query needed
v2-201,JUSTICE,walk,Judge positions against party,Do judges with a party affiliation hold more outside positions?,Catalog item 48.,JUSTICE__FED_COURTLISTENER_POSITIONS|JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,CL_PERSON_ID,other,not started,,,,,,,,
v2-202,JUSTICE,walk,Disclosures per judge against positions held,Which judges file the most disclosures relative to positions?,Catalog item 49.,JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES|JUSTICE__FED_COURTLISTENER_POSITIONS,CL_PERSON_ID,other,not started,,,,,,,,
v2-203,JUSTICE,walk,Judges per court against cases filed,Which courts are most overloaded per judge?,Catalog item 50.,JUSTICE__FED_COURTLISTENER_COURTS|JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,CL_COURT_ID,ranking,not started,,,,,,,,
v2-204,JUSTICE,walk,Opinions per case by case type,Which case types generate the most written opinions?,Catalog item 51.,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS|JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,DOCKET,other,not started,,"DOCKET is mostly unproven: 17 tables, 2 edges.",,,,,,
v2-205,JUSTICE,walk,Oral arguments against opinions,Do argued cases get more opinions?,Catalog item 52.,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS|JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,other,not started,,DOCKET unproven.,,,,,,
v2-206,JUSTICE,walk,Jail rate against injury deaths,Do high-jail counties also have high injury and violence death rates?,Catalog item 39.,JUSTICE__XC_VERA_INCARCERATION_TRENDS|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,FIPS,other,not started,v1-E52,,,,,,,
v2-207,JUSTICE,walk,Judges' gifts against their positions,Which outside positions come with the most gifts and travel?,Gift and reimbursement tables meet positions.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS|JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS|JUSTICE__FED_COURTLISTENER_POSITIONS,CL_PERSON_ID,other,not started,v1-95,,,,,,,
v2-208,JUSTICE,walk,Judge holdings against Senate trades,Which stocks appear in both judges' and senators' disclosures?,"Two branches, same tickers.",JUSTICE__FED_COURTLISTENER_INVESTMENTS|FINANCE__SENATE_TRADES,ticker / asset name,other,not started,,Not a catalog key. Fuzzy name match.,,,,,,
v2-209,JUSTICE,walk,Sentencing by judge,Which judges hand down the longest sentences for the same charge?,Judge column exists in the criminal file.,JUSTICE__FED_FJC_IDB_CRIMINAL|JUSTICE__FED_FJC_ARTICLE_III_JUDGES,judge code,ranking,not started,,Judge code not a catalog key. Needs proving.,,,,,,
v2-210,JUSTICE,walk,Gun dealers against background checks,Do states with more dealers per person run more checks per person?,State-level scatter.,JUSTICE__FED_ATF_FFL|JUSTICE__FED_FBI_NICS_CHECKS,state code,other,not started,,"State is a lookup, not a catalog key.",,,,,,
v2-211,JUSTICE,walk,"Same name, four sanctions lists","Which targets appear on OFAC, EU, UK and UN lists at once?",A Venn of sanctions.,JUSTICE__FED_OFAC_SDN|JUSTICE__INTL_EU_SANCTIONS|JUSTICE__INTL_UK_SANCTIONS_LIST|JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,name,other,not started,,Name match only. Not a catalog key.,,,,,,
v1-A37,JUSTICE,run,People under U.S. or international sanctions,Do sanctioned individuals still show up as political donors?,Would be a serious legal and ethics violation,JUSTICE__FED_OFAC_SDN|INTL_UN_CONSOLIDATED_SANCTIONS|JUSTICE__INTL_UK_SANCTIONS_LIST|FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,,,not started,,,,"no query run yet, treat any first number as unverified",,"84,250,573",untimed,Medium — first probe query needed
v2-212,JUSTICE,run,"One judge, every table","For one judge: bio, courts, votes, ideology, disclosures, gifts, trips, holdings?",The judge card.,JUSTICE__FED_FJC_ARTICLE_III_JUDGES|JUSTICE__FED_COURTLISTENER_JUDGES|JUSTICE__FED_COURTLISTENER_POSITIONS|JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS|JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS|JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES|JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS|JUSTICE__FED_COURTLISTENER_INVESTMENTS|POLITICS__JUDGE_IDEOLOGY_COA,CL_PERSON_ID,other,not started,,"CL_PERSON_ID: 8 tables, 28 edges.",,,,,,
v2-213,JUSTICE,run,Fifty years of federal court,"Civil, criminal, appellate and bankruptcy filings by district, one animated map?",The whole system breathing.,JUSTICE__FED_FJC_IDB_CIVIL|JUSTICE__FED_FJC_IDB_CRIMINAL|JUSTICE__FED_FJC_IDB_APPELLATE|JUSTICE__FED_FJC_IDB_BANKRUPTCY|JUSTICE__FED_COURTLISTENER_COURTS,CL_COURT_ID / district code,map,not started,,Not a catalog key; lookup or unproven.,,,,,,
v2-214,JUSTICE,run,One name across the sanctions world,"For one entity: every list, every program, every alias, every date?",Sanctions as a lookup.,JUSTICE__FED_OFAC_SDN|JUSTICE__FED_CONSOLIDATED_SCREENING_LIST|JUSTICE__INTL_OPENSANCTIONS_DEFAULT|JUSTICE__INTL_EU_SANCTIONS|JUSTICE__INTL_UK_SANCTIONS_LIST|JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,name,other,not started,,Name match only. Not a catalog key; lookup or unproven.,,,,,,
v2-215,FINANCE,crawl,Who owns the big companies,"Which managers hold the most of one company, and how concentrated is ownership?","Ownership of a household name, drawn.",FINANCE__FED_SEC_13F_SUBMISSION,single table,ranking,not started,,3.8M holdings.,,,,,,
v2-216,FINANCE,crawl,Insiders selling before the drop,"Which companies' insiders sold the most, and when?",A timeline per company.,FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS|FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,"stack, same shape",timeline,not started,,Same filing ID; not a catalog key.,,,,,,
v2-217,FINANCE,crawl,The audit partner who signs everything,Which audit partners and firms sign the most public-company audits?,Names behind the books.,FINANCE__FED_PCAOB_FORM_AP_FILINGS,single table,ranking,not started,,,,,,,,
v2-218,FINANCE,crawl,Bank deserts,"Which counties lost the most bank branches, and where are there none?",Branch counts per county per year.,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS|DIM_COUNTY,FIPS,map,not started,v1-127,Branch address to county lookup.,,,,,,
v2-219,FINANCE,crawl,"Deposits per branch, over time",Which banks hold the most deposits in the fewest branches?,"Consolidation, drawn.",FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,single table,timeline,not started,,,,,,,,
v2-220,FINANCE,crawl,Credit unions ranked,"Which credit unions are biggest, and which grew fastest?",Quarterly snapshots.,FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST|FINANCE__FED_NCUA_CALL_REPORTS_FS220,"stack, same shape",ranking,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-221,FINANCE,crawl,Income by zip code,Where are the richest and poorest zips by reported income?,"IRS returns, mapped.",FINANCE__FED_IRS_SOI|DIM_ZIP_POINT,ZIP,map,not started,,Zip lookup.,,,,,,
v2-222,FINANCE,crawl,Small-donor share by cycle,Did small donors become a bigger share of campaign money?,"One line, twenty cycles.",FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|MONEY_IN_POLITICS__FEC_INDIV_BY_STATE_CYCLE_AGG,"stack, same shape",timeline,not started,,Use the PUBLIC rollup first; 284M rows raw.,,,,,,
v2-223,FINANCE,crawl,Donors by occupation and employer,"Which employers' staff give the most, and to whom?",Employer column is gold.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,single table,ranking,not started,,,,,,,,
v2-224,FINANCE,crawl,"Outside spending, support versus oppose",Did independent spending turn more negative over cycles?,Support and oppose as two bars.,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES,single table,timeline,not started,,,,,,,,
v2-225,FINANCE,crawl,PAC to PAC transfers,Which committees move the most money to other committees?,A network of transfers.,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,single table,flow,not started,,,,,,,,
v2-226,FINANCE,crawl,Foreign banks reporting to the IRS,Which countries have the most FATCA-registered institutions?,A tax-haven map.,FINANCE__FED_FATCA_FFI|ECONOMICS__FED_IRS_FATCA_FFI_LIST,"stack, same shape",map,not started,,Two copies of the same list.,,,,,,
v2-227,FINANCE,crawl,Hedge funds' weekly bets,How did hedge fund long and short positions in stock index futures move weekly?,Positioning as a wave.,FINANCE__FED_CFTC_COT_FINANCIAL_HIST|EDUCATION__FED_CFTC_COT_FINANCIAL,"stack, same shape",timeline,not started,,"Two COT tables, one misfiled under EDUCATION.",,,,,,
v2-228,FINANCE,crawl,Who countries owe,"Which creditors hold each country's debt, and where are the repayment cliffs?",A debt map with cliffs flagged.,FINANCE__INTL_WB_IDS|MONEY__DEBT_REPAYMENT_CLIFF,country + year,timeline,not started,,Country lookup. Not a catalog key; lookup or unproven.,,,,,,
v2-229,FINANCE,crawl,Two Senate trade sources disagree,How many senators' trades appear in one source but not the other?,Source disagreement as the chart.,FINANCE__FED_SENATE_EFD_PTR|FINANCE__FED_SENATE_STOCK_WATCHER|FINANCE__SENATE_TRADES,"stack, same shape",other,not started,,Combined table has the match-confidence column.,,,,,,
v2-230,FINANCE,crawl,Filings per industry per quarter,Which industries file the most financial statements each quarter?,"Nine quarterly tables, one line.",FINANCE__FED_SEC_DERA_SUB_2024Q1|FINANCE__FED_SEC_DERA_SUB_2024Q2|FINANCE__FED_SEC_DERA_SUB_2024Q3|FINANCE__FED_SEC_DERA_SUB_2024Q4|FINANCE__FED_SEC_DERA_SUB_2025Q1|FINANCE__FED_SEC_DERA_SUB_2025Q2|FINANCE__FED_SEC_DERA_SUB_2025Q3|FINANCE__FED_SEC_DERA_SUB_2025Q4|FINANCE__FED_SEC_DERA_SUB_2026Q1,"stack, same shape",timeline,not started,,"Union, no join.",,,,,,
v2-231,FINANCE,crawl,Who advises money market funds,Which advisors manage the most money market funds?,Concentration in one chart.,FINANCE__FED_SEC_MONEY_MARKET_FUND_INFORMATION,single table,ranking,not started,,,,,,,,
v2-232,FINANCE,crawl,Stock exchanges of the world,"How many trading venues per country, and which operators run them?",Registry as a map.,FINANCE__INTL_ISO_MIC_REGISTRY,single table,map,not started,,,,,,,,
v1-79,FINANCE,walk,Banks that failed,Did they quietly switch auditors right before collapsing?,Would show a warning sign nobody flagged in time,ECONOMICS__FED_FDIC_FAILED_BANKS|FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS|FINANCE__FED_PCAOB_FORM_AP_FILINGS,,,not started,,,,"no query run yet, treat any first number as unverified",,"2,981,945",2017+,Medium — first probe query needed
v1-85,FINANCE,walk,Drug and device company political money,Does it flow from their corporate PAC into top leaders' campaign funds?,Would trace industry money's path to power,HEALTH__FED_CMS_OPEN_PAYMENTS|FINANCE__FED_FEC_COMMITTEES|FINANCE__FED_FEC_LEADERSHIP_PAC,,,not started,v2-Follow the money,,,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/85_maker_pacs_to_leadership_pacs,"15,453,697",by cycle,Medium — first probe query needed
