table	column	check	result	severity	proposed_fix
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	EMPLOYER_STREET_NAME	C2 name tag holds something else	places; org words 3.8%, people 0.0%; e.g. ['First Avenue', 'East 70th Street', 'Broad Street']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	EMPLOYER_CITY	C2 name tag holds something else	places; org words 1.7%, people 0.0%; e.g. ['New York', 'Oakland Gardens', 'Bronx']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	EMPLOYER_STATE	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['NY', 'NJ', 'FL']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	INTERMEDIARY_STREET_NUMBER	C2 tag fails its format	ADDRESS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	INTERMEDIARY_EMPLOYER_STREET_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['123', '120']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	INTERMEDIARY_EMPLOYER_STREET_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['William Street', 'Broadway']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	INTERMEDIARY_EMPLOYER_CITY	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['New York', 'Staten Island']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	INTERMEDIARY_EMPLOYER_STATE	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['NY']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	RECIPIENT_ID	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2563', '1545', '2345']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	STREET_NUMBER	C2 tag fails its format	ADDRESS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	EMPLOYER_STREET_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '1', '253']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	EMPLOYER_STREET_NAME	C2 name tag holds something else	places; org words 2.5%, people 0.0%; e.g. ['600 Madison Avenue', 'Penn Plaza', 'Smith Street']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	EMPLOYER_CITY	C2 name tag holds something else	places; org words 1.6%, people 0.0%; e.g. ['New York', 'Brooklyn', 'Rego Park']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	EMPLOYER_STATE	C2 name tag holds something else	places; org words 1.0%, people 0.0%; e.g. ['NY', 'WI', 'DC']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	INTERMEDIARY_STREET_NUMBER	C2 tag fails its format	ADDRESS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_STREET_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['255', '286', '3602']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_STREET_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Greenwich St', 'Highland Blvd', '13th Ave']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_CITY	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['New York', 'Brooklyn', 'Elmhurst']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_STATE	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['NY']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	RECIPIENT_ID	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1682', 'Z202', '2436']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	STREET_NUMBER	C2 tag fails its format	ADDRESS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	EMPLOYER_STREET_NUMBER	C2 name tag holds something else	numbers; org words 0.1%, people 0.0%; e.g. ['1500', '1550', '250']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	EMPLOYER_STREET_NAME	C2 name tag holds something else	places; org words 1.4%, people 0.0%; e.g. ['Thieriot Avenue', 'Broadway', 'East 86th Street']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	EMPLOYER_CITY	C2 name tag holds something else	places; org words 1.5%, people 0.1%; e.g. ['The Bronx', 'Bronx', 'New York']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	EMPLOYER_STATE	C2 name tag holds something else	places; org words 1.1%, people 0.0%; e.g. ['NY', 'TN', 'IL']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	INTERMEDIARY_STREET_NUMBER	C2 tag fails its format	ADDRESS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_STREET_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['147', '1', '88-10']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_STREET_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Prince St', 'Hanson Street', '136th St.']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_CITY	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Brooklyn Heights', 'Brooklyn', 'Kew Gardens']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	INTERMEDIARY_EMPLOYER_STATE	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['NY']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
POLITICS.POLITICS__XC_JCS_SCOTUS	JUSTICENAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['ACBarrett', 'AFortas', 'AJGoldberg']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS	NPI	C2 tag fails its format	NPI: 40.7% of 231 sampled values fit; e.g. ['1982800207', '0000000000', '1245228568']	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS	NPI	C2 catalog regex tag wrong	NPI: 40.7% fit; e.g. ['1982800207', '0000000000', '1245228568']	moderate	retire the regex catalog; tag with the platform tagger
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_DUNS	C2 tag fails its format	DUNS: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_PARENT_DUNS	C2 tag fails its format	DUNS: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['UNITED STATES', 'CANADA', 'EL SALVADOR']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_ADDRESS_LINE_1	C2 name tag holds something else	places; org words 1.5%, people 0.0%; e.g. ['3000 POTOMAC AVE', '1680 UNIVERSITY AVE', '176 W MARINE CORPS DR']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_ADDRESS_LINE_2	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['STE 311', 'FL 46, STE 4600', 'STE 106']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_CITY_NAME	C2 name tag holds something else	places; org words 1.4%, people 0.0%; e.g. ['ALEXANDRIA', 'ROCHESTER', 'ASAN']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_COUNTY_NAME	C2 name tag holds something else	places; org words 17.9%, people 0.0%; e.g. ['ALEXANDRIA (CITY)', 'MONROE', 'GUAM']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIME_AWARD_TRANSACTION_RECIPIENT_STATE_FIPS_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['51', '36', '66']	moderate	retire the regex catalog; tag with the platform tagger
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_STATE_CODE	C2 name tag holds something else	places; org words 3.0%, people 0.0%; e.g. ['VA', 'NY', 'GU']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_STATE_NAME	C2 name tag holds something else	places; org words 1.8%, people 0.0%; e.g. ['VIRGINIA', 'NEW YORK', 'GUAM']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIME_AWARD_TRANSACTION_RECIPIENT_CD_ORIGINAL	C2 name tag holds something else	single words or codes; org words 5.7%, people 0.0%; e.g. ['GU-98', 'CA-28', 'NV-04']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIME_AWARD_TRANSACTION_RECIPIENT_CD_CURRENT	C2 name tag holds something else	single words or codes; org words 3.0%, people 0.0%; e.g. ['VA-08', 'NY-25', 'GU-98']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_PHONE_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['7033100330', '5852786179', '6717341680']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	RECIPIENT_FAX_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['7033100494', '6717341682', '8776994881']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['UNITED STATES', 'IRAQ', 'CANADA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME	C2 name tag holds something else	places; org words 8.1%, people 0.0%; e.g. ['SEATTLE', 'ROCHESTER', 'AIEA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIMARY_PLACE_OF_PERFORMANCE_COUNTY_NAME	C2 name tag holds something else	places; org words 14.2%, people 0.0%; e.g. ['KING', 'MONROE', 'HONOLULU']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_STATE_FIPS_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['53', '36', '15']	moderate	retire the regex catalog; tag with the platform tagger
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	PRIMARY_PLACE_OF_PERFORMANCE_STATE_NAME	C2 name tag holds something else	places; org words 4.0%, people 0.0%; e.g. ['WASHINGTON', 'NEW YORK', 'HAWAII']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	EPA_DESIGNATED_PRODUCT_CODE	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['E', 'A', 'D']	moderate	retire the regex catalog; tag with the platform tagger
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	EPA_DESIGNATED_PRODUCT	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['NOT REQUIRED', 'MEETS REQUIREMENTS', 'JUSTIFICATION - PERFORMANCE']	moderate	retire the regex catalog; tag with the platform tagger
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	NATIVE_HAWAIIAN_ORGANIZATION_OWNED_FIRM	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f', 't']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	US_STATE_GOVERNMENT	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['f', 't']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	INTERNATIONAL_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f', 't']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	FOR_PROFIT_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f', 't']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	NONPROFIT_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['t', 'f']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	OTHER_NOT_FOR_PROFIT_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f', 't']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK	STATE_CONTROLLED_INSTITUTION_OF_HIGHER_LEARNING	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['f', 't']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
PROCUREMENT.PROCUREMENT__INTL_EC_SERCOP	COMPANY_ID	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['EC-RUC-1160006790001', 'EC-RUC-1960138220001', 'EC-RUC-0660801020001']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__CALENDAR	DAY_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Fri', 'Sat', 'Sun']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__CALENDAR	MONTH_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Jan', 'Feb', 'Mar']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__CENSUS_CB_COUNTY	COUNTYFP	C2 tag fails its format	FIPS: 0.0% of 2000 sampled values fit; e.g. ['001', '015', '193']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__CENSUS_CB_COUNTY	NAME	C2 name tag holds something else	single words or codes; org words 0.3%, people 0.0%; e.g. ['Adjuntas', 'Arroyo', 'Macon']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__CENSUS_CB_COUNTY	STATE_NAME	C2 name tag holds something else	places; org words 0.1%, people 0.0%; e.g. ['Puerto Rico', 'Georgia', 'Indiana']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__CENSUS_CB_COUNTY	GEOMETRY	C2 tag fails its format	GEOM: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__CENSUS_CB_STATE	NAME	C2 name tag holds something else	single words or codes; org words 1.8%, people 0.0%; e.g. ['New Mexico', 'South Dakota', 'California']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__CENSUS_CB_STATE	GEOMETRY	C2 tag fails its format	GEOM: 0 of 56 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__CENSUS_CB_ZCTA	GEOMETRY	C2 tag fails its format	GEOM: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_DHS_HIFLD	ADDRESS	C2 tag fails its format	ADDRESS: 0 of 500 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_DHS_HIFLD	STATE	C2 tag fails its format	STATE: 0 of 500 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_DHS_HIFLD	ZIP	C2 tag fails its format	ZIP: 0 of 500 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_DHS_HIFLD	FIPS	C2 tag fails its format	FIPS: 0 of 500 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_DHS_HIFLD	LATITUDE	C2 tag fails its format	LATLON: 0 of 500 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_DHS_HIFLD	LONGITUDE	C2 tag fails its format	LATLON: 0 of 500 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_ITIS_KINGDOMS	KINGDOM_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Bacteria', 'Protozoa', 'Plantae']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__FED_ITIS_TAXON_UNIT_TYPES	RANK_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Kingdom', 'Subkingdom', 'Phylum']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__FED_USGS_GNIS_ALL_NAMES	NAME_CITATION_ID	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['285d4feea271ac3ca3314eac43d8c06b', 'aaab656579dffd9a62d1ad6b0bc7f8fb', 'a9dfb15f60e30ef85cae7c2cb0f08226']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__FED_USGS_GNIS_ALL_NAMES	FEATURE_NAME_OFFICIAL	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Official', 'Variant']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__FED_USGS_TOPOVIEW	SOURCENAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['ScienceBase']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__FED_USGS_TOPOVIEW	FIPS	C2 tag fails its format	FIPS: 0 of 250 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__FED_USGS_TOPOVIEW	STATE	C2 tag fails its format	STATE: 0 of 250 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__INTL_EG_CAPMAS	INDICATOR_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Login', 'Sign Up', 'Data Catalog']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__INTL_GDELT	ACTOR1NAME	C2 name tag holds something else	single words or codes; org words 2.5%, people 0.0%; e.g. ['UNITED KINGDOM', 'UNITED STATES', 'HAWAII']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__INTL_GDELT	ACTOR2NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['CHR', 'HIN', 'MOS']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__INTL_GDELT	ACTOR2COUNTRYCODE	C2 tag fails its format	COUNTRY: 0 of 1015 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REFERENCE__INTL_GDELT	ACTOR2GEO_FULLNAME	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '2', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__INTL_GDELT	ACTIONGEO_FULLNAME	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0.55493895671476', '-5.85325638911789', '1.63398692810457']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS	DISPLAY_NAME_LANG	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['no_lang_code', 'en', 'id']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS	LOCATION_NAME	C2 name tag holds something else	"single words or codes; org words 1.6%, people 0.0%; e.g. ['Germantown', 'Hangzhou', ""Xi'an""]"	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS	COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['United States', 'China', 'Germany']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS	SUBDIVISION_NAME	C2 name tag holds something else	single words or codes; org words 2.5%, people 0.0%; e.g. ['Maryland', 'Zhejiang', 'Shaanxi']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REF__DIM_GEOGRAPHY	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['36', 'NY', '39']	moderate	retire the regex catalog; tag with the platform tagger
REFERENCE.REF__DIM_GEOGRAPHY	COUNTY_FIPS_SUFFIX	C2 tag fails its format	FIPS: 0.0% of 2000 sampled values fit; e.g. ['111', '079', '077']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
REFERENCE.REF__DIM_GEOGRAPHY	COUNTY_FIPS_SUFFIX	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['111', '079', '077']	moderate	retire the regex catalog; tag with the platform tagger
REFERENCE.REF__DIM_GEOGRAPHY	COUNTY_NAME	C2 name tag holds something else	places; org words 5.6%, people 0.0%; e.g. ['ULSTER', 'PUTNAM', 'OTSEGO']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REF__DIM_GEOGRAPHY	STATE_NAME	C2 name tag holds something else	places; org words 0.1%, people 0.0%; e.g. ['NEW YORK', 'OHIO', 'OKLAHOMA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REF__DIM_GEOGRAPHY	EPA_REGION	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['02', '05', '06']	moderate	retire the regex catalog; tag with the platform tagger
REFERENCE.REF__DIM_GEOGRAPHY	FACILITY_COUNT	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1488', '745', '695']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
REFERENCE.REF__DIM_STATE	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['01', '02', '04']	moderate	retire the regex catalog; tag with the platform tagger
REFERENCE.REF__DIM_STATE	STATE_NAME	C2 name tag holds something else	places; org words 1.8%, people 0.0%; e.g. ['Alabama', 'Alaska', 'Arizona']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
SCIENCE.SCIENCE__FED_NSF_AWARDS	PROGRAM_NAME	C2 name tag holds something else	things, not names; org words 5.2%, people 0.0%; e.g. ['Workforce (MSPRF) MathSciPDFel', 'CyberTraining - Training-based', 'APPLIED MATHEMATICS']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
SCIENCE.SCIENCE__FED_NSF_AWARDS	EIN	C2 tag fails its format	EIN: 0 of 115 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
